behaviour,artcode,url
answer quiz 24 B,13335,/quizzes/answer/?quizId=24&answer=B
answer quiz 24 C,13336,/quizzes/answer/?quizId=24&answer=C
answer quiz 24 D,13344,/quizzes/answer/?quizId=24&answer=D
answer quiz 25 A,13345,/quizzes/answer/?quizId=25&answer=A
answer quiz 25 B,13346,/quizzes/answer/?quizId=25&answer=B
answer quiz 25 C,13355,/quizzes/answer/?quizId=25&answer=C
answer quiz 25 D,13356,/quizzes/answer/?quizId=25&answer=D
answer quiz 26 A,13366,/quizzes/answer/?quizId=26&answer=A
answer quiz 26 B,13444,/quizzes/answer/?quizId=26&answer=B
answer quiz 26 C,13445,/quizzes/answer/?quizId=26&answer=C
answer quiz 26 D,13446,/quizzes/answer/?quizId=26&answer=D
answer quiz 27 A,13455,/quizzes/answer/?quizId=27&answer=A
answer quiz 27 B,13456,/quizzes/answer/?quizId=27&answer=B
answer quiz 27 C,13466,/quizzes/answer/?quizId=27&answer=C
answer quiz 27 D,13555,/quizzes/answer/?quizId=27&answer=D
answer quiz 28 A,13556,/quizzes/answer/?quizId=28&answer=A
answer quiz 28 B,13566,/quizzes/answer/?quizId=28&answer=B
answer quiz 28 C,13666,/quizzes/answer/?quizId=28&answer=C
answer quiz 28 D,14444,/quizzes/answer/?quizId=28&answer=D
answer quiz 29 A,14445,/quizzes/answer/?quizId=29&answer=A
answer quiz 29 B,14446,/quizzes/answer/?quizId=29&answer=B
answer quiz 29 C,14455,/quizzes/answer/?quizId=29&answer=C
answer quiz 29 D,14456,/quizzes/answer/?quizId=29&answer=D
answer quiz 30 A,14466,/quizzes/answer/?quizId=30&answer=A
answer quiz 30 B,14555,/quizzes/answer/?quizId=30&answer=B
answer quiz 30 C,14556,/quizzes/answer/?quizId=30&answer=C
answer quiz 30 D,14566,/quizzes/answer/?quizId=30&answer=D
collect treasure 0,14666,/treasures/collect/0
collect treasure 1,15555,/treasures/collect/1
collect treasure 2,15556,/treasures/collect/2
collect treasure 3,15566,/treasures/collect/3
collect treasure 4,15666,/treasures/collect/4
collect treasure 5,16666,/treasures/collect/5
collect treasure 6,22222,/treasures/collect/6
collect treasure 7,22223,/treasures/collect/7
collect treasure 8,22224,/treasures/collect/8
collect treasure 9,22225,/treasures/collect/9
collect treasure 10,22226,/treasures/collect/10
collect treasure 11,22233,/treasures/collect/11
collect treasure 12,22234,/treasures/collect/12
collect treasure 13,22235,/treasures/collect/13
collect treasure 14,22236,/treasures/collect/14
collect treasure 15,22244,/treasures/collect/15
collect treasure 16,22245,/treasures/collect/16
collect treasure 17,22246,/treasures/collect/17
collect treasure 18,22255,/treasures/collect/18
collect treasure 19,22256,/treasures/collect/19
use treasure 0,22266,/treasures/use/0
use treasure 1,22333,/treasures/use/1
use treasure 2,22334,/treasures/use/2
use treasure 3,22335,/treasures/use/3
use treasure 4,22336,/treasures/use/4
use treasure 5,22344,/treasures/use/5
use treasure 6,22345,/treasures/use/6
use treasure 7,22346,/treasures/use/7
use treasure 8,22355,/treasures/use/8
use treasure 9,22356,/treasures/use/9
use treasure 10,22366,/treasures/use/10
use treasure 11,22444,/treasures/use/11
use treasure 12,22445,/treasures/use/12
use treasure 13,22446,/treasures/use/13
use treasure 14,22455,/treasures/use/14
use treasure 15,22456,/treasures/use/15
use treasure 16,22466,/treasures/use/16
use treasure 17,22555,/treasures/use/17
use treasure 18,22556,/treasures/use/18
use treasure 19,22566,/treasures/use/19
connect core 1 shed,22666,/enrgycores/connect/?energycoreId=1&mode=shed
connect core 2 shed,23333,/enrgycores/connect/?energycoreId=2&mode=shed
connect core 3 shed,23334,/enrgycores/connect/?energycoreId=3&mode=shed
connect core 4 shed,23335,/enrgycores/connect/?energycoreId=4&mode=shed
connect core 5 shed,23336,/enrgycores/connect/?energycoreId=5&mode=shed
connect core 6 shed,23344,/enrgycores/connect/?energycoreId=6&mode=shed
connect core 7 shed,23345,/enrgycores/connect/?energycoreId=7&mode=shed
connect core 1 nonshed,23346,/enrgycores/connect/?energycoreId=1&mode=nonshed
connect core 2 nonshed,23355,/enrgycores/connect/?energycoreId=2&mode=nonshed
connect core 3 nonshed,23356,/enrgycores/connect/?energycoreId=3&mode=nonshed
connect core 4 nonshed,23366,/enrgycores/connect/?energycoreId=4&mode=nonshed
connect core 5 nonshed,23444,/enrgycores/connect/?energycoreId=5&mode=nonshed
connect core 6 nonshed,23445,/enrgycores/connect/?energycoreId=6&mode=nonshed
connect core 7 nonshed,23446,/enrgycores/connect/?energycoreId=7&mode=nonshed
show player treasure,23455,/treasures/my
start easy game sunny,23456,/game/start/easy/sunny
start easy game cloudy,23466,/game/start/easy/cloudy
start easy game rainy,23555,/game/start/easy/rainy
start mid game sunny,23556,/game/start/mid/sunny
start mid game cloudy,23566,/game/start/mid/cloudy
start mid game rainy,23666,/game/start/mid/rainy
start hard game sunny,24444,/game/start/hard/sunny
start hard game cloudy,24445,/game/start/hard/cloudy
start hard game rainy,24446,/game/start/hard/rainy
expand time 15 s,24455,/game/expand/?timeInSecond=15
expand time 30 s,24456,/game/expand/?timeInSecond=30
expand time 45 s,24466,/game/expand/?timeInSecond=45
expand time 60 s,24555,/game/expand/?timeInSecond=60
expand time 90 s,24556,/game/expand/?timeInSecond=90
expand time 120 s,24566,/game/expand/?timeInSecond=120
snowmonster attack,24666,/attack
show hint,25555,/hints
show dashboard,25556,/dashboard
,25566,
,25666,
,26666,
